Date,EPS Estimate,Reported EPS,Surprise(%),Ticker
2020-02-18 16:00:00-05:00,0.81,0.81,0.17,A
2020-05-21 16:00:00-04:00,0.61,0.71,16.35,A
2020-08-18 16:00:00-04:00,0.67,0.78,16.91,A
2020-11-23 16:00:00-05:00,0.94,0.98,4.51,A
2021-02-16 16:00:00-05:00,0.9,1.06,17.7,A
2021-05-25 16:00:00-04:00,0.83,0.97,16.32,A
2021-08-17 16:00:00-04:00,0.99,1.1,10.6,A
2021-11-22 16:00:00-05:00,1.18,1.21,2.86,A
2022-02-22 16:00:00-05:00,1.18,1.21,2.74,A
2022-05-24 16:00:00-04:00,1.12,1.13,1.3,A
2022-08-16 16:00:00-04:00,1.21,1.34,10.96,A
2022-11-21 16:00:00-05:00,1.39,1.53,10.33,A
2023-02-28 16:00:00-05:00,1.31,1.37,4.46,A
2023-05-23 16:00:00-04:00,1.26,1.27,0.63,A
2023-08-15 16:00:00-04:00,1.37,1.43,4.55,A
2023-11-20 16:00:00-05:00,1.34,1.38,3.02,A
2024-02-27 16:00:00-05:00,1.23,1.29,4.68,A
2024-05-29 16:00:00-04:00,1.19,1.22,2.42,A
2024-08-21 16:00:00-04:00,1.26,1.32,4.93,A
2024-11-25 16:00:00-05:00,1.29,1.22,-5.41,A
2025-02-26 16:00:00-05:00,1.27,1.31,2.99,A
2025-05-28 16:00:00-04:00,1.26,1.31,3.62,A
2025-08-27 16:00:00-04:00,1.37,1.37,0.17,A
2025-11-24 16:00:00-05:00,1.58,1.59,0.37,A
2020-01-28 16:00:00-05:00,1.13,1.25,9.93,AAPL
2020-04-30 17:00:00-04:00,0.56,0.64,12.93,AAPL
2020-07-30 16:00:00-04:00,0.52,0.65,24.47,AAPL
2020-10-29 16:00:00-04:00,0.7,0.73,4.48,AAPL
2021-01-27 16:00:00-05:00,1.42,1.68,18.67,AAPL
2021-04-28 16:00:00-04:00,0.98,1.4,42.16,AAPL
2021-07-27 16:00:00-04:00,1.01,1.3,28.18,AAPL
2021-10-28 16:00:00-04:00,1.24,1.24,0.17,AAPL
2022-01-27 16:00:00-05:00,1.89,2.1,11.16,AAPL
2022-04-28 16:00:00-04:00,1.43,1.52,6.3,AAPL
2022-07-28 16:00:00-04:00,1.15,1.2,3.93,AAPL
2022-10-27 16:00:00-04:00,1.27,1.29,1.44,AAPL
2023-02-02 16:00:00-05:00,1.95,1.88,-3.67,AAPL
2023-05-04 16:00:00-04:00,1.43,1.52,6.28,AAPL
2023-08-03 16:00:00-04:00,1.19,1.26,5.47,AAPL
2023-11-02 16:00:00-04:00,1.39,1.46,4.82,AAPL
2024-02-01 16:00:00-05:00,2.11,2.18,3.55,AAPL
2024-05-02 16:00:00-04:00,1.51,1.53,1.46,AAPL
2024-08-01 16:00:00-04:00,1.34,1.4,4.3,AAPL
2024-10-31 16:00:00-04:00,0.95,0.97,2.48,AAPL
2025-01-30 16:00:00-05:00,2.35,2.4,2.26,AAPL
2025-05-01 16:00:00-04:00,1.63,1.65,1.5,AAPL
2025-07-31 16:00:00-04:00,1.43,1.57,9.48,AAPL
2025-10-30 16:00:00-04:00,1.77,1.85,4.47,AAPL
2020-02-07 07:00:00-05:00,2.19,2.21,0.73,ABBV
2020-05-01 08:00:00-04:00,2.25,2.42,7.66,ABBV
2020-07-31 07:00:00-04:00,2.2,2.34,6.36,ABBV
2020-10-30 07:00:00-04:00,2.77,2.83,2.32,ABBV
2021-02-03 07:00:00-05:00,2.85,2.92,2.42,ABBV
2021-04-30 07:00:00-04:00,2.83,2.95,4.26,ABBV
2021-07-30 07:00:00-04:00,3.03,3.11,2.57,ABBV
2021-10-29 07:00:00-04:00,3.22,3.33,3.52,ABBV
2022-02-02 07:00:00-05:00,3.28,3.31,0.84,ABBV
2022-04-29 07:00:00-04:00,3.14,3.16,0.56,ABBV
2022-07-29 07:00:00-04:00,3.31,3.37,1.83,ABBV
2022-10-28 07:00:00-04:00,3.57,3.66,2.65,ABBV
2023-02-09 07:00:00-05:00,3.58,3.6,0.65,ABBV
2023-04-27 07:00:00-04:00,2.49,2.46,-1.37,ABBV
2023-07-27 07:00:00-04:00,2.81,2.91,3.64,ABBV
2023-10-27 07:00:00-04:00,2.87,2.95,2.8,ABBV
2024-02-02 07:00:00-05:00,2.8,2.79,-0.32,ABBV
2024-04-26 07:00:00-04:00,0.66,0.77,16.08,ABBV
2024-07-25 07:00:00-04:00,2.66,2.65,-0.39,ABBV
2024-10-30 07:00:00-04:00,2.92,3.0,2.82,ABBV
